chap;code_icd;diagnostic;hosp_class;hosp_de_jour
I - Certaines maladies infectieuses et parasitaires (A00-B99);A00;choléra;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A01;fièvres typhoïde et paratyphoïde;38;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A02;autres infections à Salmonella;742;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A03;shigellose;72;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A04;autres infections intestinales bactériennes;3338;79
I - Certaines maladies infectieuses et parasitaires (A00-B99);A05;autres intoxications bactériennes d'origine alimentaire , non classées ailleurs;196;5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A06;amibiase;16;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A07;autres maladies intestinales à protozoaires;226;39
I - Certaines maladies infectieuses et parasitaires (A00-B99);A08;infections virales et autres infections intestinales spécifiées;9819;63
I - Certaines maladies infectieuses et parasitaires (A00-B99);A09;diarrhée et gastro-entérite d'origine présumée infectieuse;3565;400
I - Certaines maladies infectieuses et parasitaires (A00-B99);A15;tuberculose de l'appareil respiratoire;785;60
I - Certaines maladies infectieuses et parasitaires (A00-B99);A17;tuberculose du système nerveux;21;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A18;tuberculose d'autres organes;145;27
I - Certaines maladies infectieuses et parasitaires (A00-B99);A19;tuberculose miliaire;63;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A20;peste;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A21;tularémie;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A22;charbon;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A23;brucellose;12;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A24;morve et mélioïdose;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A25;fièvres causées par morsure de rat;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A26;érysipéloïde;29;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A27;leptospirose;29;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A28;autres anthropozoonoses bactériennes, non classées ailleurs;61;24
I - Certaines maladies infectieuses et parasitaires (A00-B99);A30;lèpre [maladie de Hansen];0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A31;infections dues à d'autres mycobactéries;82;33
I - Certaines maladies infectieuses et parasitaires (A00-B99);A32;listériose;42;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A33;tétanos néonatal;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A34;tétanos obstétrical;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A35;autres formes de tétanos;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A36;diphtérie;60;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A37;coqueluche;167;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A38;scarlatine;193;0
