hfdst;icd_code;diagnose;klass_hosp;dag_hosp
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A00;cholera;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A01;tyfus en paratyfus;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A02;andere infecties door Salmonella;562;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A03;shigellose;30;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A04;andere bacteriële intestinale infecties;2782;103
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A05;andere bacteriële voedselvergiftigingen, niet elders geclassificeerd;172;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A06;amoebiasis;21;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A07;andere intestinale ziekten door protozoën;173;27
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A08;virale en andere gespecificeerde intestinale infecties;8805;51
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A09;infectieuze gastro-enteritis en colitis, niet gespecificeerd;2817;386
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A15;tuberculose van het ademhalingsstelsel;573;55
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A17;tuberculose van zenuwstelsel;21;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A18;tuberculose van andere organen;139;46
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A19;miliaire tuberculose;44;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A20;pest;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A21;tularemie;0;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A22;anthrax;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A23;brucellose;6;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A24;malleus en melioidosis;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A25;rattenbeetziekte;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A26;erysipeloïd;9;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A27;leptospirose;33;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A28;andere gespecificeerde bacteriële zoönosen, niet elders geclassificeerd;48;11
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A30;lepra [ziekte van Hansen];0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A31;infectie door andere mycobacteria;90;41
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A32;listeriose;52;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A33;tetanus neonatorum;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A34;obstetrische tetanus;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A35;andere vormen van tetanus;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A36;difterie;28;5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A37;kinkhoest;18;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A38;roodvonk;159;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A39;meningokokkeninfectie;37;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A40;sepsis door streptokokken;1111;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A41;andere sepsis;11851;24
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A42;actinomycose;25;13
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A43;nocardiose;13;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A44;bartonellose;15;8
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A46;erysipelas;5267;11
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A48;andere bacteriële ziekten;294;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A49;bacteriële infectie van niet gespecificeerde lokalisatie;162;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A50;congenitale syfilis;0;5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A51;vroege syfilis;15;11
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A52;late syphilis;72;21
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A53;andere en niet gespecificeerde syfilis;9;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A54;gonokokkeninfectie;40;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A55;lymphogranuloma venereum door Chlamydia;< 5;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A56;andere sexueel overdraagbare ziekten door Chlamydia;68;13
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A57;ulcus molle [chancroïd];0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A58;granuloma inguinale;< 5;20
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A59;trichomoniasis;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A60;anogenitale herpesvirusinfecties [herpes simplex];75;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A63;andere hoofdzakelijk seksueel overdraagbare ziekten, niet elders geclasssificeerd;143;2241
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A64;niet gespecificeerde seksueel overdraagbare ziekte;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A65;niet-venerische syfilis;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A66;framboesia;0;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A67;pinta [carate];0;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A68;febris recurrens;7;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A69;andere spirocheteninfecties;244;73
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A70;infecties door Chlamydia psittaci;6;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A71;trachoom;0;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A74;andere ziekten veroorzaakt door Chlamydia;21;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A75;vlektyfus;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A77;spotted fever [door teken overgedragen rickettsiosen];< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A78;Q-koorts;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A79;andere rickettsiosen;5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A80;acute poliomyelitis;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A81;atypische virusinfectie van centraal zenuwstelsel;53;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A82;rabiës;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A83;door muggen overgebrachte virale encefalitis;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A84;door teken overgebrachte virale encefalitis;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A85;andere virale encefalitis;25;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A86;niet gespecificeerde virale encefalitis;93;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A87;virale meningitis;503;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A88;andere virale infecties van het centraal zenuwstelsel, niet elders geclassificeerd;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A89;niet gespecificeerde virusinfectie van het centraal zenuwstelsel;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A90;Dengue-koorts [klassieke dengue];8;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A91;Dengue-hemorragische koorts;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A92;andere door muggen overgebrachte koort;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A93;andere door artropoden overgebrachte virale koorts, niet elders geclassificeerd;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A94;niet gespecificeerde door artropoden overgebrachte virale koorts;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A95;gele koorts;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A96;hemorragische koorts door het arenavirus;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A98;andere virale hemorragische koorts, niet elders geclassificeerd;88;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A99;niet gespecificeerde virale hemorragische koorts;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);AAA;psychiatrisch specialisme;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B00;herpesvirusinfecties [herpes simplex];471;12
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B01;varicella [chickenpox];350;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B02;zoster [herpes zoster];861;38
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B03;pokken;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B04;Apenpokken;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B05;mazelen;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B06;rubella [German measles];< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B07;virale wratten;5;553
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B08;andere virusinfecties gekenmerkt door letsels van huid en slijmvliezen, niet elders geclassificeerd;596;245
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B09;niet gespecificeerde virusinfectie gekenmerkt door huid- en slijmvliesletsels;38;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B10;andere humane herpesvirussen;43;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B15;acute hepatitis A;40;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B16;acute hepatitis B;35;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B17;andere acute virale hepatitis;239;6
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B18;chronische hepatitis;48;49
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B19;niet gespecificeerde virushepatitis;58;9
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B20;ziekte door het Humaan Immunodeficiëntievirus [HIV];263;49
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B25;ziekte door het cytomegalovirus;279;21
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B26;bof;14;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B27;infectieuze mononucleosis;522;17
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B30;virale conjunctivitis;12;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B33;andere virale ziekten;107;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B34;virale infectie van niet gespecificeerde lokalisatie;3973;13
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B35;dermatophytosis;21;48
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B36;andere oppervlakkige mycosen;6;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B37;candidiasis;429;374
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B38;coccidioïdomycose;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B39;histoplasmose;< 5;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B40;blastomycose;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B41;paracoccidioïdomycose;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B42;sporotrichose;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B43;chromomycose en feomycotisch abces;0;13
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B44;Aspergillosis;247;90
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B45;cryptococcose;13;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B46;zygomycose;6;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B47;mycetoom;< 5;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B48;andere mycosen, niet elders geclassificeerd;13;31
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B49;niet gespecificeerde mycose;9;10
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B50;malaria door Plasmodium falciparum;329;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B51;malaria door Plasmodium vivax;12;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B52;malaria door Plasmodium malariae;24;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B53;andere gespecificeerde malaria;22;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B54;niet gespecificeerde malaria;41;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B55;leishmaniasis;9;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B56;Afrikaanse trypanosomiasis;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B57;ziekte van Chagas;0;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B58;toxoplasmose;29;7
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B59;pneumocystose;258;6
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B60;andere ziekten door protozoën, niet elders geclassificeerd;11;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B64;niet gespecificeerde ziekte door protozoën;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B65;schistosomiasis [bilharziasis];13;12
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B66;andere trematodeninfectie;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B67;echinococcose;42;5
