chap;code_icd;diagnostic;hosp_class;hosp_de_jour
I - Certaines maladies infectieuses et parasitaires (A00-B99);A00;choléra;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A01;fièvres typhoïde et paratyphoïde;25;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A02;autres infections à Salmonella;545;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A03;shigellose;67;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A04;autres infections intestinales bactériennes;3385;77
I - Certaines maladies infectieuses et parasitaires (A00-B99);A05;autres intoxications bactériennes d'origine alimentaire , non classées ailleurs;227;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A06;amibiase;28;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A07;autres maladies intestinales à protozoaires;207;32
I - Certaines maladies infectieuses et parasitaires (A00-B99);A08;infections virales et autres infections intestinales spécifiées;10212;45
I - Certaines maladies infectieuses et parasitaires (A00-B99);A09;diarrhée et gastro-entérite d'origine présumée infectieuse;3601;412
I - Certaines maladies infectieuses et parasitaires (A00-B99);A15;tuberculose de l'appareil respiratoire;717;72
I - Certaines maladies infectieuses et parasitaires (A00-B99);A17;tuberculose du système nerveux;18;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A18;tuberculose d'autres organes;128;30
I - Certaines maladies infectieuses et parasitaires (A00-B99);A19;tuberculose miliaire;25;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A20;peste;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A21;tularémie;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A22;charbon;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A23;brucellose;10;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A24;morve et mélioïdose;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A25;fièvres causées par morsure de rat;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A26;érysipéloïde;13;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A27;leptospirose;17;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A28;autres anthropozoonoses bactériennes, non classées ailleurs;62;16
I - Certaines maladies infectieuses et parasitaires (A00-B99);A30;lèpre [maladie de Hansen];< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A31;infections dues à d'autres mycobactéries;71;30
I - Certaines maladies infectieuses et parasitaires (A00-B99);A32;listériose;53;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A33;tétanos néonatal;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A34;tétanos obstétrical;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A35;autres formes de tétanos;5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A36;diphtérie;90;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A37;coqueluche;160;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A38;scarlatine;236;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A39;infection à méningocoques;108;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A40;sepsis à streptocoques;1636;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A41;autres sepsis;12537;8
I - Certaines maladies infectieuses et parasitaires (A00-B99);A42;actinomycose;41;10
I - Certaines maladies infectieuses et parasitaires (A00-B99);A43;nocardiose;14;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A44;bartonellose;20;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A46;érysipèle;6983;7
I - Certaines maladies infectieuses et parasitaires (A00-B99);A48;autres maladies bactériennes, non classées ailleurs;209;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A49;infection bactérienne de site non spécifié;277;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A50;syphilis congénitale;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A51;syphilis précoce;17;7
I - Certaines maladies infectieuses et parasitaires (A00-B99);A52;syphilis tardive;54;20
I - Certaines maladies infectieuses et parasitaires (A00-B99);A53;autres syphilis non spécifiée;11;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A54;infection gonococcique;32;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A55;lymphogranulomatose vénérienne à Chlamydia;5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A56;autres maladies à Chlamydia sexuellement transmissibles;76;8
I - Certaines maladies infectieuses et parasitaires (A00-B99);A57;chancre mou;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A58;granulome inguinal;5;26
I - Certaines maladies infectieuses et parasitaires (A00-B99);A59;trichomonose;< 5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A60;infection anogénitale par le virus de l'herpès [herpes simplex];136;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A63;autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs;187;2464
I - Certaines maladies infectieuses et parasitaires (A00-B99);A64;maladie sexuellement transmissible, non spécifiée;< 5;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A65;syphilis non vénérienne;0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A66;pian;0;6
I - Certaines maladies infectieuses et parasitaires (A00-B99);A67;pinta [caraté];0;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A68;fièvres récurrentes;7;< 5
I - Certaines maladies infectieuses et parasitaires (A00-B99);A69;autres infections à spirochètes;257;58
I - Certaines maladies infectieuses et parasitaires (A00-B99);A70;infection à Chlamydia psittaci;5;0
I - Certaines maladies infectieuses et parasitaires (A00-B99);A71;trachome;0;0
