hfdst;icd_code;diagnose;klass_hosp;dag_hosp
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A00;cholera;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A01;tyfus en paratyfus;38;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A02;andere infecties door Salmonella;742;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A03;shigellose;72;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A04;andere bacteriële intestinale infecties;3338;79
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A05;andere bacteriële voedselvergiftigingen, niet elders geclassificeerd;196;5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A06;amoebiasis;16;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A07;andere intestinale ziekten door protozoën;226;39
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A08;virale en andere gespecificeerde intestinale infecties;9819;63
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A09;Infectieuze gastro-enteritis en colitis, niet gespecificeerd;3565;400
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A15;tuberculose van ademhalingsstelsel;785;60
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A17;tuberculose van zenuwstelsel;21;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A18;tuberculose van andere organen;145;27
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A19;miliaire tuberculose;63;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A20;pest;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A21;tularemie;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A22;antrax;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A23;brucellose;12;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A24;malleus en melioidosis;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A25;rattenbeetziekte;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A26;erysipeloïd;29;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A27;leptospirose;29;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A28;andere bacteriële zoönosen, niet elders geclassificeerd;61;24
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A30;lepra [ziekte van Hansen];0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A31;infectie door andere mycobacterie;82;33
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A32;listeriose;42;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A33;tetanus neonatorum;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A34;obstetrische tetanus;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A35;andere vormen van tetanus;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A36;difterie;60;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A37;kinkhoest;167;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A38;roodvonk;193;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A39;meningokokkeninfectie;131;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A40;sepsis door streptokokken;1770;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A41;andere sepsis;13697;14
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A42;actinomycose;24;16
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A43;nocardiose;14;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A44;bartonellose;26;5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A46;erysipelas;7035;12
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A48;andere bacteriële ziekten, niet elders geclassificeerd;254;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A49;bacteriële infectie van niet gespecificeerde lokalisatie;295;6
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A50;congenitale syfilis;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A51;vroege syfilis;19;7
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A52;late syfilis;67;14
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A53;andere en niet gespecificeerde syfilis;6;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A54;gonokokkeninfectie;23;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A55;lymphogranuloma venereum door Chlamydia;5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A56;andere sexueel overdraagbare ziekten door Chlamydia;62;11
