chap;code_icd;diagnostic;hosp_class;hosp_de_jour
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A00;choléra;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A01;fièvres typhoïde et paratyphoïde;34;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A02;autres infections à Salmonella;650;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A03;shigellose;55;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A04;autres infections intestinales bactériennes;3229;91
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A05;autres intoxications bactériennes d'origine alimentaire , non classées ailleurs;215;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A06;amibiase;14;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A07;autres maladies intestinales à protozoaires;239;30
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A08;infections virales et autres infections intestinales spécifiées;10363;59
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A09;diarrhée et gastro-entérite d'origine présumée infectieuse;3691;427
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A15;tuberculose de l'appareil respiratoire;731;77
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A17;tuberculose du système nerveux;26;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A18;tuberculose d'autres organes;138;27
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A19;tuberculose miliaire;42;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A20;peste;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A21;tularémie;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A22;charbon;< 5;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A23;brucellose;7;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A24;morve et mélioïdose;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A25;fièvres causées par morsure de rat;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A26;érysipéloïde;15;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A27;leptospirose;21;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A28;autres anthropozoonoses bactériennes, non classées ailleurs;40;12
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A30;lèpre [maladie de Hansen];0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A31;infections dues à d'autres mycobactéries;103;29
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A32;listériose;47;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A33;tétanos néonatal;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A34;tétanos obstétrical;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A35;autres formes de tétanos;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A36;diphtérie;68;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A37;coqueluche;150;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A38;scarlatine;216;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A39;infection à méningocoques;115;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A40;sepsis à streptocoques;1848;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A41;autres sepsis;13484;11
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A42;actinomycose;32;15
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A43;nocardiose;16;< 5
