chap;code_icd;diagnostic;code_ins;arrondissement_du_domicile_du_patient;hosp_class;hosp_de_jour
1 - Maladies infectieuses et parasitaires (001-139);1;Choléra;33.0;Ypres;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);2;Fièvres typhoïde et paratyphoïde;21.0;Bruxelles-Capitale;8;0
1 - Maladies infectieuses et parasitaires (001-139);2;Fièvres typhoïde et paratyphoïde;23.0;Hal-Vilvorde;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);2;Fièvres typhoïde et paratyphoïde;25.0;Nivelles;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);2;Fièvres typhoïde et paratyphoïde;51.0;Ath;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);2;Fièvres typhoïde et paratyphoïde;52.0;Charleroi;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);2;Fièvres typhoïde et paratyphoïde;56.0;Thuin;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;0.0;Domicile étranger;8;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;11.0;Anvers;63;< 5
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;12.0;Malines;21;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;13.0;Turnhout;25;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;21.0;Bruxelles-Capitale;50;< 5
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;23.0;Hal-Vilvorde;47;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;24.0;Louvain;20;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;25.0;Nivelles;14;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;31.0;Bruges;34;< 5
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;32.0;Dixmude;6;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;33.0;Ypres;10;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;34.0;Courtrai;36;< 5
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;35.0;Ostende;15;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;36.0;Roulers;24;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;37.0;Tielt;19;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;38.0;Furnes;6;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;41.0;Alost;36;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;42.0;Termonde;31;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;43.0;Eeklo;10;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;44.0;Gand;44;< 5
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;45.0;Audenarde;20;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;46.0;Saint-Nicolas;24;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;51.0;Ath;6;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;52.0;Charleroi;26;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;53.0;Mons;7;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;54.0;Mouscron;6;0
