chap;code_icd;diagnostic;hosp_class;hosp_de_jour
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A00;choléra;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A01;fièvre typhoïde et paratyphoïde;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A02;d'autres infections à Salmonella;562;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A03;shigellose;30;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A04;d'autres infections intestinales infectieuses;2782;103
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A05;d'autres intaxications alimentaires, non classées ailleurs;172;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A06;amibiase;21;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A07;d'autres maladies intestinales à protozoaires;173;27
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A08;infections virales et d'autres infections intestinales spécifiées;8805;51
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A09;diarrhée et gastro-entérite d'origine présumée infectieuse;2817;386
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A15;tuberculose de l'appareil respiratoire;573;55
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A17;tuberculose du système nerveux;21;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A18;tuberculose d'autres organes;139;46
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A19;tuberculose miliaire;44;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A20;peste;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A21;tularémie;0;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A22;charbon;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A23;brucellose;6;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A24;morve et mélioïdose;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A25;fièvres causée par la morsure d'un rat;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A26;érysipéloïde;9;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A27;leptospirose;33;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A28;d'autres anthropozoonoses bactériennes spécifiées, non classées ailleurs;48;11
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A30;lèpre [maladie de Hansen];0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A31;infections dues à d'autre mycobactéries;90;41
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A32;listériose;52;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A33;tétanos néonatal;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A34;tétanos obstétrical;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A35;d'autres formes de tétanos;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A36;diphtérie;28;5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A37;coqueluche;18;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A38;scarlatine;159;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A39;infection à méningocoques;37;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A40;septicémie à streptocoques;1111;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A41;autre septicémie;11851;24
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A42;actinomycose;25;13
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A43;nocardiose;13;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A44;bartonellose;15;8
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A46;érysipèle;5267;11
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A48;d'autres maladies bactériennes;294;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A49;infection bactérienne de site non spécifié;162;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A50;syphilis congénitale;0;5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A51;syphilis précoce;15;11
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A52;syphilis tardive;72;21
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A53;syphilis autre et non spécifiée;9;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A54;infection gonococcique;40;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A55;lymphogranulomatose vénérienne à Chlamydia;< 5;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A56;d'autres maladies à Chlamydia sexuellement transmissibles;68;13
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A57;chancre mou;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A58;granulome inguinal;< 5;20
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A59;trichomonase;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A60;infections ano-génitales par le virus de l'herpès [herpes simplex];75;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A63;d'autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs;143;2241
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A64;maladie sexuellement transmissible, non spécifiée;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A65;syphilis non vénérienne;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A66;pian;0;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A67;pinta [carate];0;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A68;fièvres récurrentes;7;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A69;d'autres infections spirochétal;244;73
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A70;infection à Chlamydia psittaci;6;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A71;trachome;0;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A74;autres maladies dues à Chlamydia;21;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A75;typhus;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A77;fièvre pourprée [rickettsioses transmises par les tiques];< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A78;fièvre Q;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A79;d'autres rickettsioses;5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A80;poliomyélite aiguë;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A81;infection virale atpique du système nerveux central;53;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A82;rage;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A83;encéphalite virale transmise par les moustiques;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A84;encéphalite virale transmise par des tiques;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A85;autre encéphalite virale;25;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A86;encéphalite virale, non spécifiée;93;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A87;méningite virale;503;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A88;d'autres infections virales du système nerveux central, non classées ailleurs;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A89;infection virale du système nerveux central, non spécifiée;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A90;dengue [dengue classique];8;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A91;fièvre hémorragique due au virus de la dengue;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A92;d'autres fièvres transmises par des moustiques;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A93;d'autres fièvres virales transmises par des arthropodes, non classées ailleurs;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A94;fièvre virale transmise par des arthropodes, non spécifiée;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A95;fièvre jaune;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A96;fièvre hémorragique à arénavirus;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A98;d'autres fièvres hémorragiques virales, non classées ailleurs;88;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A99;fièvre hémorragique virale, non spécifiée;0;0
