hfdst;icd_code;diagnose;klass_hosp;dag_hosp
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A00;cholera;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A01;tyfus en paratyfus;19;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A02;andere infecties door Salmonella;714;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A03;shigellose;58;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A04;andere bacteriële intestinale infecties;3360;112
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A05;andere bacteriële voedselvergiftigingen, niet elders geclassificeerd;213;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A06;amoebiasis;11;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A07;andere intestinale ziekten door protozoën;236;58
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A08;virale en andere gespecificeerde intestinale infecties;8580;58
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A09;Infectieuze gastro-enteritis en colitis, niet gespecificeerd;3630;384
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A15;tuberculose van ademhalingsstelsel;720;109
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A17;tuberculose van zenuwstelsel;11;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A18;tuberculose van andere organen;168;34
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A19;miliaire tuberculose;33;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A20;pest;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A21;tularemie;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A22;antrax;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A23;brucellose;5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A24;malleus en melioidosis;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A25;rattenbeetziekte;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A26;erysipeloïd;20;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A27;leptospirose;20;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A28;andere bacteriële zoönosen, niet elders geclassificeerd;69;29
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A30;lepra [ziekte van Hansen];0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A31;infectie door andere mycobacterie;66;36
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A32;listeriose;68;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A33;tetanus neonatorum;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A34;obstetrische tetanus;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A35;andere vormen van tetanus;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A36;difterie;116;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A37;kinkhoest;209;6
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A38;roodvonk;185;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A39;meningokokkeninfectie;122;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A40;sepsis door streptokokken;1400;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A41;andere sepsis;11570;18
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A42;actinomycose;22;11
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A43;nocardiose;15;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A44;bartonellose;22;5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A46;erysipelas;6744;10
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A48;andere bacteriële ziekten, niet elders geclassificeerd;180;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A49;bacteriële infectie van niet gespecificeerde lokalisatie;271;8
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A50;congenitale syfilis;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A51;vroege syfilis;19;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A52;late syfilis;57;14
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A53;andere en niet gespecificeerde syfilis;17;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A54;gonokokkeninfectie;33;7
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A55;lymphogranuloma venereum door Chlamydia;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A56;andere sexueel overdraagbare ziekten door Chlamydia;74;15
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A57;ulcus molle [chancroïd];0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A58;granuloma inguinale;< 5;13
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A59;trichomoniasis;0;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A60;anogenitale herpesvirusinfectie [herpes simplex];109;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A63;andere hoofdzakelijk seksueel overdraagbare ziekten, niet elders geclassificeerd;174;2647
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A64;niet gespecificeerde seksueel overdraagbare ziekte;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A65;niet-venerische syfilis;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A66;framboesia;0;7
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A67;pinta [carate];0;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A68;febris recurrens;11;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A69;andere spirocheteninfecties;337;42
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A70;infecties door Chlamydia psittaci;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A71;trachoom;0;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A74;andere ziekten veroorzaakt door Chlamydia;34;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A75;vlektyfus;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A77;vlekkenkoorts [door teken overgedragen rickettsiosen];< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A78;Q-koorts;6;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A79;andere rickettsiosen;16;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A80;acute poliomyelitis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A81;atypische virusinfectie van centraal zenuwstelsel;56;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A82;rabiës;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A83;door muggen overgebrachte virale encefalitis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A84;door teken overgebrachte virale encefalitis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A85;andere virale encefalitis, niet elders geclassificeerd;28;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A86;niet gespecificeerde virale encefalitis;88;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A87;virale meningitis;1615;5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A88;andere virale infecties van centraal zenuwstelsel, niet elders geclassificeerd;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A89;niet gespecificeerde virusinfectie van centraal zenuwstelsel;5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A90;dengue-koorts [klassieke dengue];26;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A91;Dengue-hemorragische koorts;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A92;andere door muggen overgebrachte koorts;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A93;andere door artropoden overgebrachte virale koorts, niet elders geclassificeerd;8;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A94;niet gespecificeerde door artropoden overgebrachte virale koorts;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A95;gele koorts;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A96;hemorragische koorts door arenavirus;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A98;andere virale hemorragische koorts, niet elders geclassificeerd;22;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A99;niet gespecificeerde virale hemorragische koorts;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);AAA;psychiatrisch specialisme;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B00;herpesvirusinfecties [herpes simplex];573;11
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B01;varicella [waterpokken];854;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B02;zoster [herpes zoster];1118;31
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B03;pokken;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B04;apenpokken;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B05;mazelen;28;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B06;rubella;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B07;virale wratten;13;771
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B08;andere virusinfecties gekenmerkt door letsels van huid en slijmvliezen, niet elders geclassificeerd;506;307
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B09;niet gespecificeerde virusinfectie gekenmerkt door huid- en slijmvliesletsels;33;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B10;andere humane herpesvirussen;15;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B15;acute hepatitis A;84;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B16;acute hepatitis B;54;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B17;andere acute virale hepatitis;149;5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B18;chronische hepatitis;138;152
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B19;niet gespecificeerde virushepatitis;87;21
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B20;ziekte door humaan immunodeficiëntievirus [HIV] leidend tot infectieziekten en parasitaire aandoeningen;483;149
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B25;ziekte door cytomegalovirus;375;13
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B26;bof;34;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B27;infectieuze mononucleosis;746;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B30;virale conjunctivitis;24;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B33;andere virale ziekten, niet elders geclassificeerd;111;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B34;virale infectie van niet gespecificeerde lokalisatie;6026;8
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B35;dermatophytosis;18;53
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B36;andere oppervlakkige mycosen;14;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B37;candidiasis;537;279
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B38;coccidioïdomycose;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B39;histoplasmose;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B40;blastomycose;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B41;paracoccidioïdomycose;0;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B42;sporotrichose;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B43;chromomycose en feomycotisch abces;< 5;16
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B44;aspergillosis;348;121
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B45;cryptococcose;10;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B46;zygomycose;7;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B47;mycetoom;5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B48;andere mycosen, niet elders geclassificeerd;9;15
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B49;niet gespecificeerde mycose;10;7
