hfdst;icd_code;diagnose;klass_hosp;dag_hosp
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A00;cholera;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A01;tyfus en paratyfus;34;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A02;andere infecties door Salmonella;650;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A03;shigellose;55;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A04;andere bacteriële intestinale infecties;3229;91
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A05;andere bacteriële voedselvergiftigingen, niet elders geclassificeerd;215;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A06;amoebiasis;14;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A07;andere intestinale ziekten door protozoën;239;30
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A08;virale en andere gespecificeerde intestinale infecties;10363;59
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A09;Infectieuze gastro-enteritis en colitis, niet gespecificeerd;3691;427
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A15;tuberculose van ademhalingsstelsel;731;77
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A17;tuberculose van zenuwstelsel;26;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A18;tuberculose van andere organen;138;27
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A19;miliaire tuberculose;42;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A20;pest;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A21;tularemie;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A22;antrax;< 5;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A23;brucellose;7;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A24;malleus en melioidosis;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A25;rattenbeetziekte;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A26;erysipeloïd;15;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A27;leptospirose;21;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A28;andere bacteriële zoönosen, niet elders geclassificeerd;40;12
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A30;lepra [ziekte van Hansen];0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A31;infectie door andere mycobacterie;103;29
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A32;listeriose;47;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A33;tetanus neonatorum;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A34;obstetrische tetanus;0;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A35;andere vormen van tetanus;< 5;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A36;difterie;68;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A37;kinkhoest;150;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A38;roodvonk;216;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A39;meningokokkeninfectie;115;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A40;sepsis door streptokokken;1848;0
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A41;andere sepsis;13484;11
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A42;actinomycose;32;15
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A43;nocardiose;16;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A44;bartonellose;19;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A46;erysipelas;7144;16
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A48;andere bacteriële ziekten, niet elders geclassificeerd;281;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A49;bacteriële infectie van niet gespecificeerde lokalisatie;236;5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A50;congenitale syfilis;0;6
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A51;vroege syfilis;19;8
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A52;late syfilis;92;25
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A53;andere en niet gespecificeerde syfilis;20;< 5
1 - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A54;gonokokkeninfectie;47;< 5
