chap;code_icd;diagnostic;hosp_class;hosp_de_jour
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A00;choléra;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A01;fièvre typhoïde et paratyphoïde;6;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A02;d'autres infections à Salmonella;454;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A03;shigellose;26;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A04;d'autres infections intestinales infectieuses;2647;137
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A05;d'autres intaxications alimentaires, non classées ailleurs;113;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A06;amibiase;14;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A07;d'autres maladies intestinales à protozoaires;134;28
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A08;infections virales et d'autres infections intestinales spécifiées;5266;25
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A09;diarrhée et gastro-entérite d'origine présumée infectieuse;2212;322
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A15;tuberculose de l'appareil respiratoire;600;63
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A17;tuberculose du système nerveux;30;< 5
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A18;tuberculose d'autres organes;119;33
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A19;tuberculose miliaire;41;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A20;peste;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A21;tularémie;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A22;charbon;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A23;brucellose;8;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A24;morve et mélioïdose;0;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A25;fièvres causée par la morsure d'un rat;< 5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A26;érysipéloïde;5;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A27;leptospirose;17;0
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A28;d'autres anthropozoonoses bactériennes spécifiées, non classées ailleurs;31;13
1 - Certaines maladies infectieuses et parasitaires (A00-B99);A30;lèpre [maladie de Hansen];< 5;0
