hfdst;icd_code;diagnose;klass_hosp;dag_hosp
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A00;cholera;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A01;tyfus en paratyfus;25;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A02;andere infecties door Salmonella;545;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A03;shigellose;67;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A04;andere bacteriële intestinale infecties;3385;77
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A05;andere bacteriële voedselvergiftigingen, niet elders geclassificeerd;227;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A06;amoebiasis;28;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A07;andere intestinale ziekten door protozoën;207;32
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A08;virale en andere gespecificeerde intestinale infecties;10212;45
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A09;Infectieuze gastro-enteritis en colitis, niet gespecificeerd;3601;412
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A15;tuberculose van ademhalingsstelsel;717;72
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A17;tuberculose van zenuwstelsel;18;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A18;tuberculose van andere organen;128;30
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A19;miliaire tuberculose;25;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A20;pest;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A21;tularemie;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A22;antrax;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A23;brucellose;10;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A24;malleus en melioidosis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A25;rattenbeetziekte;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A26;erysipeloïd;13;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A27;leptospirose;17;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A28;andere bacteriële zoönosen, niet elders geclassificeerd;62;16
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A30;lepra [ziekte van Hansen];< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A31;infectie door andere mycobacterie;71;30
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A32;listeriose;53;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A33;tetanus neonatorum;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A34;obstetrische tetanus;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A35;andere vormen van tetanus;5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A36;difterie;90;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A37;kinkhoest;160;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A38;roodvonk;236;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A39;meningokokkeninfectie;108;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A40;sepsis door streptokokken;1636;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A41;andere sepsis;12537;8
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A42;actinomycose;41;10
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A43;nocardiose;14;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A44;bartonellose;20;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A46;erysipelas;6983;7
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A48;andere bacteriële ziekten, niet elders geclassificeerd;209;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A49;bacteriële infectie van niet gespecificeerde lokalisatie;277;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A50;congenitale syfilis;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A51;vroege syfilis;17;7
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A52;late syfilis;54;20
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A53;andere en niet gespecificeerde syfilis;11;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A54;gonokokkeninfectie;32;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A55;lymphogranuloma venereum door Chlamydia;5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A56;andere sexueel overdraagbare ziekten door Chlamydia;76;8
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A57;ulcus molle [chancroïd];< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A58;granuloma inguinale;5;26
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A59;trichomoniasis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A60;anogenitale herpesvirusinfectie [herpes simplex];136;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A63;andere hoofdzakelijk seksueel overdraagbare ziekten, niet elders geclassificeerd;187;2464
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A64;niet gespecificeerde seksueel overdraagbare ziekte;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A65;niet-venerische syfilis;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A66;framboesia;0;6
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A67;pinta [carate];0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A68;febris recurrens;7;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A69;andere spirocheteninfecties;257;58
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A70;infecties door Chlamydia psittaci;5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A71;trachoom;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A74;andere ziekten veroorzaakt door Chlamydia;46;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A75;vlektyfus;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A77;vlekkenkoorts [door teken overgedragen rickettsiosen];5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A78;Q-koorts;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A79;andere rickettsiosen;13;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A80;acute poliomyelitis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A81;atypische virusinfectie van centraal zenuwstelsel;73;5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A82;rabiës;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A83;door muggen overgebrachte virale encefalitis;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A84;door teken overgebrachte virale encefalitis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A85;andere virale encefalitis, niet elders geclassificeerd;30;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A86;niet gespecificeerde virale encefalitis;92;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A87;virale meningitis;1273;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A88;andere virale infecties van centraal zenuwstelsel, niet elders geclassificeerd;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A89;niet gespecificeerde virusinfectie van centraal zenuwstelsel;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A90;dengue-koorts [klassieke dengue];22;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A91;Dengue-hemorragische koorts;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A92;andere door muggen overgebrachte koorts;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A93;andere door artropoden overgebrachte virale koorts, niet elders geclassificeerd;7;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A94;niet gespecificeerde door artropoden overgebrachte virale koorts;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A95;gele koorts;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A96;hemorragische koorts door arenavirus;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A98;andere virale hemorragische koorts, niet elders geclassificeerd;106;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);A99;niet gespecificeerde virale hemorragische koorts;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);AAA;psychiatrisch specialisme;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B00;herpesvirusinfecties [herpes simplex];583;11
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B01;varicella [waterpokken];778;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B02;zoster [herpes zoster];1059;40
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B03;pokken;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B04;apenpokken;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B05;mazelen;151;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B06;rubella;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B07;virale wratten;16;756
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B08;andere virusinfecties gekenmerkt door letsels van huid en slijmvliezen, niet elders geclassificeerd;560;341
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B09;niet gespecificeerde virusinfectie gekenmerkt door huid- en slijmvliesletsels;46;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B10;andere humane herpesvirussen;24;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B15;acute hepatitis A;248;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B16;acute hepatitis B;45;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B17;andere acute virale hepatitis;197;12
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B18;chronische hepatitis;125;153
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B19;niet gespecificeerde virushepatitis;93;18
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B20;ziekte door humaan immunodeficiëntievirus [HIV] leidend tot infectieziekten en parasitaire aandoeningen;486;128
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B25;ziekte door cytomegalovirus;407;22
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B26;bof;29;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B27;infectieuze mononucleosis;799;8
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B30;virale conjunctivitis;12;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B33;andere virale ziekten, niet elders geclassificeerd;136;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B34;virale infectie van niet gespecificeerde lokalisatie;5887;10
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B35;dermatophytosis;31;43
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B36;andere oppervlakkige mycosen;11;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B37;candidiasis;585;321
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B38;coccidioïdomycose;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B39;histoplasmose;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B40;blastomycose;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B41;paracoccidioïdomycose;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B42;sporotrichose;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B43;chromomycose en feomycotisch abces;< 5;12
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B44;aspergillosis;349;119
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B45;cryptococcose;9;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B46;zygomycose;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B47;mycetoom;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B48;andere mycosen, niet elders geclassificeerd;23;9
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B49;niet gespecificeerde mycose;11;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B50;malaria door Plasmodium falciparum;309;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B51;malaria door Plasmodium vivax;22;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B52;malaria door Plasmodium malariae;13;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B53;andere gespecificeerde malaria;37;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B54;niet gespecificeerde malaria;49;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B55;leishmaniasis;10;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B56;Afrikaanse trypanosomiasis;< 5;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B57;ziekte van Chagas;< 5;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B58;toxoplasmose;46;11
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B59;pneumocystose;220;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B60;andere ziekten door protozoën, niet elders geclassificeerd;8;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B64;niet gespecificeerde ziekte door protozoën;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B65;schistosomiasis [bilharziasis];< 5;7
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B66;andere trematodeninfectie;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B67;echinococcose;47;6
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B68;taeniasis;0;< 5
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B69;cysticercose;9;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B70;diphyllobothriasis en sparganose;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B71;andere cestodeninfecties;0;0
I - Bepaalde infectieziekten en parasitaire aandoeningen (A00-B99);B72;dracunculiasis;0;0
