chap;code_icd;diagnostic;hosp_class;hosp_de_jour
1 - Maladies infectieuses et parasitaires (001-139);1;Choléra;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);2;Fièvres typhoïde et paratyphoïde;15;0
1 - Maladies infectieuses et parasitaires (001-139);3;Autres salmonelloses;755;5
1 - Maladies infectieuses et parasitaires (001-139);4;Shigellose;53;< 5
1 - Maladies infectieuses et parasitaires (001-139);5;Autres intoxications alimentaires (bactériennes);248;< 5
1 - Maladies infectieuses et parasitaires (001-139);6;Amibiase;22;< 5
1 - Maladies infectieuses et parasitaires (001-139);7;Autres maladies intestinales à protozoaires;181;34
1 - Maladies infectieuses et parasitaires (001-139);8;Infections intestinales dues à d'autres micro-organismes;9818;81
1 - Maladies infectieuses et parasitaires (001-139);9;Infections intestinales mal définies;4175;371
1 - Maladies infectieuses et parasitaires (001-139);10;Primo-infection tuberculeuse;42;< 5
1 - Maladies infectieuses et parasitaires (001-139);11;Tuberculose pulmonaire;549;69
1 - Maladies infectieuses et parasitaires (001-139);12;Autres tuberculoses du système respiratoire;78;9
1 - Maladies infectieuses et parasitaires (001-139);13;Tuberculose des méninges et du système nerveux central;24;< 5
1 - Maladies infectieuses et parasitaires (001-139);14;Tuberculose de l'intestin, du péritoine et des ganglions mésentériques;29;6
1 - Maladies infectieuses et parasitaires (001-139);15;Tuberculose des os et des articulations;38;< 5
1 - Maladies infectieuses et parasitaires (001-139);16;Tuberculose du système génito-urinaire;12;0
1 - Maladies infectieuses et parasitaires (001-139);17;Tuberculose d'autres organes;66;14
1 - Maladies infectieuses et parasitaires (001-139);18;Tuberculose miliaire;28;< 5
1 - Maladies infectieuses et parasitaires (001-139);20;Peste;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);21;Tularémie;0;0
1 - Maladies infectieuses et parasitaires (001-139);22;Charbon;< 5;< 5
1 - Maladies infectieuses et parasitaires (001-139);23;Brucellose;11;0
1 - Maladies infectieuses et parasitaires (001-139);24;Morve;0;0
1 - Maladies infectieuses et parasitaires (001-139);25;Mélioïdose;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);26;Fièvre par morsure de rat;0;0
1 - Maladies infectieuses et parasitaires (001-139);27;Autres anthropozoonoses bactériennes;68;< 5
1 - Maladies infectieuses et parasitaires (001-139);30;Lèpre;0;0
1 - Maladies infectieuses et parasitaires (001-139);31;Maladies dues à d'autres mycobactéries;84;30
1 - Maladies infectieuses et parasitaires (001-139);32;Diphtérie;104;0
1 - Maladies infectieuses et parasitaires (001-139);33;Coqueluche;226;< 5
1 - Maladies infectieuses et parasitaires (001-139);34;Angine à streptocoques et scarlatine;910;< 5
1 - Maladies infectieuses et parasitaires (001-139);35;Érysipèle;6249;16
1 - Maladies infectieuses et parasitaires (001-139);36;Infection à méningocoques;118;< 5
1 - Maladies infectieuses et parasitaires (001-139);37;Tétanos;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);38;Septicémie;10323;41
1 - Maladies infectieuses et parasitaires (001-139);39;Infections actinomycosiques;29;7
1 - Maladies infectieuses et parasitaires (001-139);40;Autres maladies bactériennes;46;0
1 - Maladies infectieuses et parasitaires (001-139);41;Infection bactérienne avec affections classées ailleurs et de site non spécifié;311;101
1 - Maladies infectieuses et parasitaires (001-139);42;Maladie du VIH (virus d'immunodéficience humaine);656;113
1 - Maladies infectieuses et parasitaires (001-139);45;Poliomyélite aiguë;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);46;Infections à virus lents et maladies à prions du système nerveux central;54;0
1 - Maladies infectieuses et parasitaires (001-139);47;Méningite à entérovirus;1274;< 5
1 - Maladies infectieuses et parasitaires (001-139);48;Autres maladies à entérovirus du système nerveux central;28;0
1 - Maladies infectieuses et parasitaires (001-139);49;Autres maladies virales du système nerveux central non transmises par les arthropodes;107;< 5
1 - Maladies infectieuses et parasitaires (001-139);50;Variole;0;0
1 - Maladies infectieuses et parasitaires (001-139);51;Vaccine et paravaccine;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);52;Varicelle;760;< 5
1 - Maladies infectieuses et parasitaires (001-139);53;Herpes zoster (zona);1130;53
1 - Maladies infectieuses et parasitaires (001-139);54;Herpes simplex;615;7
1 - Maladies infectieuses et parasitaires (001-139);55;Rougeole;13;0
1 - Maladies infectieuses et parasitaires (001-139);56;Rubéole;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);57;Autres exanthèmes viraux;111;0
1 - Maladies infectieuses et parasitaires (001-139);58;Autres virus humains de l'herpès;105;0
1 - Maladies infectieuses et parasitaires (001-139);59;Autres infections à virus orthopox;0;0
1 - Maladies infectieuses et parasitaires (001-139);60;Fièvre jaune;0;0
1 - Maladies infectieuses et parasitaires (001-139);61;Dengue;27;0
1 - Maladies infectieuses et parasitaires (001-139);62;Encéphalite virale transmise par des moustiques;0;0
1 - Maladies infectieuses et parasitaires (001-139);63;Encéphalite virale transmise par des tiques;0;0
1 - Maladies infectieuses et parasitaires (001-139);64;Encéphalite virale transmise par des arthropodes autres et non spécifiés;0;0
1 - Maladies infectieuses et parasitaires (001-139);65;Fièvre hémorragique transmise par des arthropodes;0;0
1 - Maladies infectieuses et parasitaires (001-139);66;Autres maladies virales transmises par des arthropodes;7;0
1 - Maladies infectieuses et parasitaires (001-139);70;Hépatite virale;700;292
1 - Maladies infectieuses et parasitaires (001-139);71;Rage;0;0
1 - Maladies infectieuses et parasitaires (001-139);72;Oreillons;38;0
1 - Maladies infectieuses et parasitaires (001-139);73;Ornithose;5;< 5
1 - Maladies infectieuses et parasitaires (001-139);74;Maladies spécifiques dues au virus Coxsackie;383;0
1 - Maladies infectieuses et parasitaires (001-139);75;Mononucléose infectieuse;713;5
1 - Maladies infectieuses et parasitaires (001-139);76;Trachome;0;< 5
1 - Maladies infectieuses et parasitaires (001-139);77;Autres maladies de la conjonctive à virus et à Chlamydiae;14;< 5
1 - Maladies infectieuses et parasitaires (001-139);78;Autres maladies à virus et à Chlamydiae;1014;3725
1 - Maladies infectieuses et parasitaires (001-139);79;Infection à virus et à Chlamydiae dans des affections classées ailleurs et de site non spécifié;5026;24
1 - Maladies infectieuses et parasitaires (001-139);80;Typhus transmis par des poux;0;0
1 - Maladies infectieuses et parasitaires (001-139);81;Autres typhus;0;0
1 - Maladies infectieuses et parasitaires (001-139);82;Rickettsioses véhiculées par les tiques;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);83;Autres rickettsioses;17;0
1 - Maladies infectieuses et parasitaires (001-139);84;Malaria;330;< 5
1 - Maladies infectieuses et parasitaires (001-139);85;Leishmaniose;9;24
1 - Maladies infectieuses et parasitaires (001-139);86;Trypanosomiase;0;0
1 - Maladies infectieuses et parasitaires (001-139);87;Fièvre récurrente;< 5;0
1 - Maladies infectieuses et parasitaires (001-139);88;Autres maladies transmises par les arthropodes;328;17
1 - Maladies infectieuses et parasitaires (001-139);90;Syphilis congénitale;0;7
1 - Maladies infectieuses et parasitaires (001-139);91;Syphilis précoce, symptomatique;16;< 5
1 - Maladies infectieuses et parasitaires (001-139);92;Syphilis précoce, latente;< 5;0
