hfdst;icd_code;diagnose;klass_hosp;dag_hosp
1 - Infectieziekten en parasitaire ziekten (001-139);1;Cholera;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);2;Typhus abdominalis en paratyfus;15;0
1 - Infectieziekten en parasitaire ziekten (001-139);3;Andere salmonella infecties;755;5
1 - Infectieziekten en parasitaire ziekten (001-139);4;Shigellose;53;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);5;Andere bacteriële voedselvergiftiging;248;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);6;Amoebiasis;22;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);7;Andere darmziekten door protozoen;181;34
1 - Infectieziekten en parasitaire ziekten (001-139);8;Darminfecties door andere micro-organismen;9818;81
1 - Infectieziekten en parasitaire ziekten (001-139);9;Niet scherp omschreven darminfecties;4175;371
1 - Infectieziekten en parasitaire ziekten (001-139);10;Primaire tuberculeuze infectie;42;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);11;Longtuberculose;549;69
1 - Infectieziekten en parasitaire ziekten (001-139);12;Andere vormen van tuberculose van de tractus respiratorius;78;9
1 - Infectieziekten en parasitaire ziekten (001-139);13;Tuberculose van meningen en centraal zenuwstelsel;24;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);14;Tuberculose van darmen, peritoneum en mesenteriale klieren;29;6
1 - Infectieziekten en parasitaire ziekten (001-139);15;Tuberculose van botten en gewrichten;38;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);16;Tuberculose van het urogenitaal stelsel;12;0
1 - Infectieziekten en parasitaire ziekten (001-139);17;Tuberculose van andere organen;66;14
1 - Infectieziekten en parasitaire ziekten (001-139);18;Miliaire tuberculose;28;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);20;Pest;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);21;Tularemie;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);22;Anthrax;< 5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);23;Brucellose;11;0
1 - Infectieziekten en parasitaire ziekten (001-139);24;Malleus;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);25;Melioidose;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);26;Rattebeetziekte;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);27;Andere bacteriële zoonosen;68;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);30;Lepra;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);31;Ziekten door andere mycobacteriën;84;30
1 - Infectieziekten en parasitaire ziekten (001-139);32;Difterie;104;0
1 - Infectieziekten en parasitaire ziekten (001-139);33;Kinkhoest;226;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);34;Streptokokken angina en roodvonk;910;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);35;Erysipelas;6249;16
1 - Infectieziekten en parasitaire ziekten (001-139);36;Meningokokken infectie;118;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);37;Tetanus;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);38;Sepsis;10323;41
1 - Infectieziekten en parasitaire ziekten (001-139);39;Actinomycoses;29;7
1 - Infectieziekten en parasitaire ziekten (001-139);40;Andere bacteriële ziekten;46;0
1 - Infectieziekten en parasitaire ziekten (001-139);41;Bacteriële infectie bij elders geclassificeerde aandoeningen en met niet gespecificeerde lokalisatie;311;101
1 - Infectieziekten en parasitaire ziekten (001-139);42;HIV-ziekte (human immunodeficiency virus);656;113
1 - Infectieziekten en parasitaire ziekten (001-139);45;Acute poliomyelitis;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);46;“Slow virus” infecties van het centrale zenuwstelsel;54;0
1 - Infectieziekten en parasitaire ziekten (001-139);47;Meningitis door enterovirus;1274;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);48;Andere enterovirus ziekten van het centrale zenuwstelsel;28;0
1 - Infectieziekten en parasitaire ziekten (001-139);49;Andere niet door arthropoden overgebrachte virale ziekten van het centrale zenuwstelsel;107;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);50;Pokken;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);51;Koepokken en paravaccinia;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);52;Waterpokken;760;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);53;Herpes zoster;1130;53
1 - Infectieziekten en parasitaire ziekten (001-139);54;Herpes simplex;615;7
1 - Infectieziekten en parasitaire ziekten (001-139);55;Mazelen;13;0
1 - Infectieziekten en parasitaire ziekten (001-139);56;Rubella (rodehond);< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);57;Andere virus exanthemen;111;0
1 - Infectieziekten en parasitaire ziekten (001-139);58;Andere human herpesvirus;105;0
1 - Infectieziekten en parasitaire ziekten (001-139);59;Andere orthopokkenvirus infecties;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);60;Gele koorts;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);61;Dengue;27;0
1 - Infectieziekten en parasitaire ziekten (001-139);62;Door muggen overgebrachte virus encefalitis;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);63;Door teken overgebrachte virus encefalitis;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);64;Virale encefalitis overgebracht door andere en niet gespecificeerde arthropoden;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);65;Door arthropoden overgebrachte hemorragische koorts;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);66;Andere door arthropoden overgebrachte virusziekte;7;0
1 - Infectieziekten en parasitaire ziekten (001-139);70;Virus hepatitis;700;292
1 - Infectieziekten en parasitaire ziekten (001-139);71;Rabiës;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);72;Bof;38;0
1 - Infectieziekten en parasitaire ziekten (001-139);73;Ornithosis;5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);74;Specifieke ziekten veroorzaakt door Coxsackie virus;383;0
1 - Infectieziekten en parasitaire ziekten (001-139);75;Mononucleosis infectiosa;713;5
1 - Infectieziekten en parasitaire ziekten (001-139);76;Trachoom;0;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);77;Andere ziekten van de conjunctiva door virussen en Chlamydiae veroorzaakt;14;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);78;Andere ziekten veroorzaakt door virussen en Chlamydiae;1014;3725
1 - Infectieziekten en parasitaire ziekten (001-139);79;Virale en Chlamydia-infecties bij elders geclassificeerde aandoeningen en van niet gespecificeerde lokalisatie;5026;24
1 - Infectieziekten en parasitaire ziekten (001-139);80;Door luizen overgebrachte tyfus;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);81;Andere vormen van vlektyfus;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);82;Door teken overgebrachte rickettsiosen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);83;Andere rickettsiosen;17;0
1 - Infectieziekten en parasitaire ziekten (001-139);84;Malaria;330;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);85;Leishmaniasis;9;24
1 - Infectieziekten en parasitaire ziekten (001-139);86;Trypanosomiasis;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);87;Relapsing fever;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);88;Andere door arthropoden overgebrachte ziekten;328;17
1 - Infectieziekten en parasitaire ziekten (001-139);90;Congenitale syfilis (lues);0;7
1 - Infectieziekten en parasitaire ziekten (001-139);91;Vroege syfilis (lues), met symptomen;16;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);92;Vroege syfilis (lues), latent;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);93;Cardiovasculaire syfilis (lues);0;0
1 - Infectieziekten en parasitaire ziekten (001-139);94;Neurosyfilis (lues);34;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);95;Andere vormen van late syfilis, met symptomen;12;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);96;Late syfilis, latent;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);97;Andere en niet gespecificeerde syfilis;10;0
1 - Infectieziekten en parasitaire ziekten (001-139);98;Gonokokken infecties;28;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);99;Andere geslachtsziekten;41;19
1 - Infectieziekten en parasitaire ziekten (001-139);100;Leptospirosis;25;0
1 - Infectieziekten en parasitaire ziekten (001-139);101;Angina van Plaut-Vincent;36;0
1 - Infectieziekten en parasitaire ziekten (001-139);102;Framboesia;0;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);103;Pinta;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);104;Andere spirochetosen;< 5;29
1 - Infectieziekten en parasitaire ziekten (001-139);110;Dermatofytosen;30;35
1 - Infectieziekten en parasitaire ziekten (001-139);111;Andere en niet gespecificeerde dermatomycosen;19;5
1 - Infectieziekten en parasitaire ziekten (001-139);112;Candidiasis;580;219
1 - Infectieziekten en parasitaire ziekten (001-139);114;Coccidioidomycose;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);115;Histoplasmose;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);116;Blastomycotische infectie;< 5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);117;Andere mycosen;304;76
1 - Infectieziekten en parasitaire ziekten (001-139);118;Opportunistische mycosen;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);120;Schistosomiasis (bilharziasis);17;5
1 - Infectieziekten en parasitaire ziekten (001-139);121;Andere trematoden infecties;0;0
1 - Infectieziekten en parasitaire ziekten (001-139);122;Echinokokkose;47;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);123;Andere cestode infecties;9;6
1 - Infectieziekten en parasitaire ziekten (001-139);124;Trichinosis;10;0
1 - Infectieziekten en parasitaire ziekten (001-139);125;Filaria infectie en dracontiasis;< 5;0
1 - Infectieziekten en parasitaire ziekten (001-139);126;Ancylostomiasis en necatoriasis;0;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);127;Andere intestinale helminthiasis;31;37
1 - Infectieziekten en parasitaire ziekten (001-139);128;Andere en niet gespecificeerde vormen van helminthiasis;0;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);129;Intestinaal parasitisme, niet gespecificeerd;18;6
1 - Infectieziekten en parasitaire ziekten (001-139);130;Toxoplasmose;28;17
1 - Infectieziekten en parasitaire ziekten (001-139);131;Trichomoniasis;< 5;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);132;Pediculosis en phthirus besmetting (infestatie);7;0
1 - Infectieziekten en parasitaire ziekten (001-139);133;Acariasis;84;0
1 - Infectieziekten en parasitaire ziekten (001-139);134;Andere vormen van infestatie;< 5;5
1 - Infectieziekten en parasitaire ziekten (001-139);135;Sarcoidosis;499;249
1 - Infectieziekten en parasitaire ziekten (001-139);136;Andere en niet gespecificeerde infectie- en parasitaire ziekten;1163;22
1 - Infectieziekten en parasitaire ziekten (001-139);137;Late gevolgen van tuberculose;19;6
1 - Infectieziekten en parasitaire ziekten (001-139);138;Late gevolgen van acute poliomyelitis;7;0
1 - Infectieziekten en parasitaire ziekten (001-139);139;Late gevolgen van andere infectie- en parasitaire ziekten;13;< 5
1 - Infectieziekten en parasitaire ziekten (001-139);;;51198;5842
2 - Neoplasmata (140-239);140;Maligne neoplasma van de lip;51;44
2 - Neoplasmata (140-239);141;Maligne neoplasma van de tong;619;272
2 - Neoplasmata (140-239);142;Maligne neoplasma van grote speekselklieren;197;27
2 - Neoplasmata (140-239);143;Maligne neoplasma van het tandvlees;96;36
2 - Neoplasmata (140-239);144;Maligne neoplasma van de mondbodem;341;69
2 - Neoplasmata (140-239);145;Maligne neoplasmata van andere en niet gespecificeerde delen van mond;242;118
2 - Neoplasmata (140-239);146;Maligne neoplasma van de orofarynx;541;275
2 - Neoplasmata (140-239);147;Maligne neoplasma van de nasofarynx;97;59
2 - Neoplasmata (140-239);148;Maligne neoplasma van de hypofarynx;397;224
2 - Neoplasmata (140-239);149;Maligne neoplasma van andere en niet scherp omschreven lokalisaties binnen de lip, mondholte en farynx;64;40
